"created
_at",Kwh,vry,vyb,vbr,vrn,vyn,vbn,ir,iy,ib
"2019-09-
18T03:0
6:00.000
Z","0.01993
648000
000394",410,"0.00939
941406
25",410,237,237,237,"2.14062
5",2.40625,"2.04687
5"
"2019-09-
18T03:0
8:00.000
Z","0.02012
006000
000110
2",410,"0.00927
734375",410,237,237,236,2.15625,2.40625,"2.04687
5"
"2019-09-
18T03:1
0:00.000
Z","0.01984
939999
999187
4",410,"0.00927
734375",410,238,238,"2.29221
398410
34606e-
36","2.14062
5",2.375,2.0625
"2019-09-
18T03:1
1:00.000
Z","0.02011
407999
999937
5",412,"0.00958
251953
125",412,238,238,237,"2.14062
5",2.40625,2.03125
"2019-09-
18T03:1
3:00.000
Z","0.02022
286000
000895",412,"0.00952
148437
5",412,238,238,237,"2.14062
5","2.39062
5",2.03125
"2019-09-
18T03:1
5:00.000
Z","0.03997
929999
999178",412,"0.00946
044921
875",412,238,238,237,2.15625,"2.39062
5","2.01562
5"
"2019-09-
18T03:1
6:00.000
Z",0,412,"0.00946
044921
875",412,238,238,237,2.15625,"2.39062
5","2.01562
5"
"2019-09-
18T03:1
8:00.000
Z","0.01994
804000
000295",412,"0.00946
044921
875",412,238,238,237,2.125,"2.39062
5",2.0625
"2019-09-
18T03:1
9:00.000
Z","0.00817
647999
999462
6",412,"0.00933
837890
625",412,238,238,237,2.15625,2.40625,"2.04687
5"
"2019-09-
18T03:2
1:00.000
Z","0.02022
178000
000712
8",412,"0.00933
837890
625",412,238,238,237,"2.17187
5","2.39062
5","2.04687
5"
"2019-09-
18T03:2
2:00.000
Z","0.02013
231999
998970
5",412,"0.00933
837890
625",412,238,238,237,2.15625,2.375,"2.04687
5"
"2019-09-
18T03:2
4:00.000
Z","0.01994
840000
000840
5",412,"0.00952
148437
5",412,238,238,237,2.15625,2.40625,"2.04687
5"
"2019-09-
18T03:2
6:00.000
Z","0.02015
428000
000247
4",412,"0.00952
148437
5",412,238,238,237,2.15625,2.40625,"2.04687
5"
"2019-09-
18T03:2
7:00.000
Z","0.01984
635999
999591",412,"0.00927
734375",412,238,238,237,2.1875,"2.35937
5",2.0625
"2019-09-
18T03:2
9:00.000
Z","0.02004
080000
000249
2",412,"0.00939
941406
25",412,238,238,237,"2.14062
5",2.375,2.09375
"2019-09-
18T03:3
2:00.000
Z","0.03942
889999
999897
6",412,"0.00970
458984
375",412,238,238,237,2.15625,"2.39062
5",2.0625
"2019-09-
18T03:3
4:00.000
Z","0.02015
424000
000348
4",410,"0.00958
251953
125",410,238,238,237,2.125,"2.42187
5","2.04687
5"
"2019-09-
18T03:3
6:00.000
Z","0.02016
339999
999036",412,"0.00958
251953
125",412,238,238,237,"2.14062
5","2.42187
5","2.04687
5"
"2019-09-
18T03:3
7:00.000
Z","0.02001
615999
999921
7",412,"0.00982
666015
625",412,238,238,237,2.09375,2.375,2.03125
"2019-09-
18T03:3
9:00.000
Z","0.02023
598000
001220
6",412,"0.00970
458984
375",412,238,238,238,"2.10937
5",2.40625,2.03125
"2019-09-
18T03:4
1:00.000
Z","0.02012
893999
999505
4",412,"0.00952
148437
5",412,238,238,237,"2.14062
5","2.42187
5","2.07812
5"
"2019-09-
18T03:4
2:00.000
Z","0.02036
037999
999826",412,"0.00946
044921
875",412,239,238,238,2.09375,"2.39062
5","2.04687
5"
"2019-09-
18T03:4
4:00.000
Z","0.02029
484000
000229
5",412,"2.20992
937954
59005e-
36",412,239,238,238,2.15625,2.375,2.03125
"2019-09-
18T03:4
6:00.000
Z","0.02027
072000
000043
6",412,"0.00946
044921
875",412,238,238,238,2.15625,2.34375,2.0625
"2019-09-
18T03:4
8:00.000
Z","0.01993
050000
000221",412,"0.00964
355468
75",412,239,238,238,"2.14062
5",2.375,"2.04687
5"
"2019-09-
18T03:4
9:00.000
Z","0.02018
275999
999605
3",412,"0.00952
148437
5",412,239,239,238,2.125,"2.39062
5",2.0625
"2019-09-
18T03:5
1:00.000
Z","0.02029
683999
999542
7",412,"0.00946
044921
875",412,239,239,238,2.125,"2.39062
5",2.03125
"2019-09-
18T03:5
3:00.000
Z","0.02010
020000
000077",412,"0.00946
044921
875",412,239,239,238,2.15625,"2.39062
5","2.04687
5"
"2019-09-
18T03:5
4:00.000
Z","0.02015
102000
000479",412,"0.00964
355468
75",412,239,239,238,2.15625,2.375,"2.04687
5"
"2019-09-
18T03:5
6:00.000
Z","0.01989
135999
999416
5",412,"0.00970
458984
375",412,239,239,"2.29221
398410
34606e-
36",2.125,2.375,2.0625
"2019-09-
18T03:5
8:00.000
Z","0.02020
253999
999841",412,"0.00958
251953
125",412,239,239,238,"2.10937
5","2.35937
5","2.04687
5"
"2019-09-
18T03:5
9:00.000
Z","0.01998
080000
000482",412,"0.00964
355468
75",412,239,239,238,"2.10937
5",2.34375,2.0625
"2019-09-
18T04:0
1:00.000
Z","0.02015
610000
000742
8",414,"0.00988
769531
25",414,239,239,238,2.15625,2.375,2.0625
"2019-09-
18T04:0
3:00.000
Z","0.02017
399999
999906
8",414,"0.00994
873046
875",414,239,239,238,2.125,2.375,"2.04687
5"
"2019-09-
18T04:0
4:00.000
Z","0.02006
729999
999515
6",414,"0.00976
5625",414,239,239,238,"2.10937
5","2.35937
5","2.07812
5"
"2019-09-
18T04:0
6:00.000
Z","0.02026
597999
999649",414,"0.00958
251953
125",414,239,239,238,2.125,2.34375,"2.04687
5"
"2019-09-
18T04:0
8:00.000
Z","0.01995
687999
999790
8",414,"0.00933
837890
625",414,239,239,238,2.15625,2.40625,2.03125
"2019-09-
18T04:0
9:00.000
Z","0.02017
358000
000240
4",414,"0.00927
734375",414,239,239,239,"2.10937
5","2.35937
5",2.0625
"2019-09-
18T04:1
1:00.000
Z","0.02029
958000
000624
6",412,"0.00939
941406
25",412,238,238,238,"2.10937
5",2.375,2.0625
"2019-09-
18T04:1
3:00.000
Z","0.01999
941999
999282
6",414,"0.00933
837890
625",414,239,239,238,"2.07812
5",2.34375,2.0625
"2019-09-
18T04:1
5:00.000
Z","0.02022
662000
000127
7",412,"0.00933
837890
625",412,238,238,238,"2.14062
5","2.39062
5","2.07812
5"
"2019-09-
18T04:1
6:00.000
Z","0.01999
655999
999959",412,"0.00946
044921
875",412,238,238,238,2.09375,2.375,"2.04687
5"
"2019-09-
18T04:1
8:00.000
Z","0.02018
319999
999949",412,"0.00964
355468
75",412,238,238,238,2.125,2.375,"2.04687
5"
"2019-09-
18T04:2
0:00.000
Z","0.02028
810000
000521
4",412,"0.00958
251953
125",414,239,239,239,2.125,"2.35937
5","2.07812
5"
"2019-09-
18T04:2
1:00.000
Z","0.02002
726000
000257",412,"0.00982
666015
625",412,238,238,238,"2.10937
5","2.35937
5",2.0625
"2019-09-
18T04:2
3:00.000
Z","0.02022
581999
999238
3",412,"0.00964
355468
75",412,239,238,238,"2.14062
5",2.40625,"2.10937
5"
"2019-09-
18T04:2
5:00.000
Z","0.02001
270000
000659","2.29221
398410
34606e-
36","0.00946
044921
875",412,238,238,238,2.125,"2.35937
5","2.07812
5"
"2019-09-
18T04:2
6:00.000
Z","0.02019
202000
000223",412,"2.20992
937954
59005e-
36",412,238,238,238,2.125,2.40625,"2.04687
5"
"2019-09-
18T04:2
8:00.000
Z","0.02024
497999
998857
4",412,"0.00958
251953
125",412,238,239,239,2.125,"2.39062
5","2.07812
5"
"2019-09-
18T04:3
0:00.000
Z","0.04013
307999
999960
6",414,"0.00964
355468
75",414,239,239,239,2.15625,2.375,"2.04687
5"
"2019-09-
18T04:3
1:00.000
Z",0,414,"0.00964
355468
75",414,239,239,239,2.15625,2.375,"2.04687
5"
"2019-09-
18T04:3
3:00.000
Z","0.01980
306000
000564
2",414,"0.00970
458984
375",414,239,239,238,"2.17187
5","2.32812
5",2.03125
"2019-09-
18T04:3
5:00.000
Z","0.01999
907999
999414",414,"0.00927
734375",414,239,239,239,2.15625,2.28125,"2.10937
5"
"2019-09-
18T04:3
7:00.000
Z","0.02001
286000
000254
7",414,"0.00915
527343
75",414,239,239,239,2.1875,"2.29687
5",2.0625
"2019-09-
18T04:3
8:00.000
Z","0.01963
805999
999749
4",414,"0.00921
630859
375",414,239,239,239,2.1875,"2.29687
5",2.0625
"2019-09-
18T04:4
0:00.000
Z","0.01977
108000
000589
4",414,"0.00933
837890
625",414,239,239,238,2.21875,"2.26562
5","2.07812
5"
"2019-09-
18T04:4
2:00.000
Z","0.01944
869999
999355",412,"0.00946
044921
875",414,239,239,239,2.1875,"2.26562
5",2.09375
"2019-09-
18T04:4
3:00.000
Z","0.01965
323999
999964",414,"0.00891
113281
25",414,239,239,239,2.21875,"2.26562
5","2.07812
5"
"2019-09-
18T04:4
5:00.000
Z","0.01965
770000
001066
5",414,"0.00939
941406
25",414,239,239,"2.29221
398410
34606e-
36",2.1875,2.28125,"2.07812
5"
"2019-09-
18T04:4
7:00.000
Z","0.01958
052000
000316",414,"0.00946
044921
875",414,239,240,239,2.21875,"2.23437
5",2.09375
"2019-09-
18T04:4
8:00.000
Z","0.01931
855999
999970
7",412,"0.00939
941406
25",414,239,239,238,"2.23437
5",2.28125,2.0625
"2019-09-
18T04:5
0:00.000
Z","0.01955
869999
999413",412,"0.00897
216796
875",414,239,239,238,"2.20312
5","2.26562
5",2.15625
"2019-09-
18T04:5
2:00.000
Z","0.01952
030000
000377
2",412,"0.00921
630859
375",412,238,239,238,"2.17187
5",2.1875,2.21875
"2019-09-
18T04:5
3:00.000
Z","0.01960
551999
999734",412,"0.00903
320312
5",412,238,239,238,2.1875,2.25,2.09375
"2019-09-
18T04:5
5:00.000
Z","0.01962
119999
999413",412,"0.00933
837890
625",412,238,239,238,2.1875,2.25,"2.10937
5"
"2019-09-
18T04:5
7:00.000
Z","0.01937
140000
000363
3",412,"0.00939
941406
25",412,238,239,239,"2.23437
5","2.26562
5","2.07812
5"
"2019-09-
18T04:5
8:00.000
Z","0.01949
946000
000636
6",414,"0.00958
251953
125",414,239,240,239,"2.20312
5",2.21875,"2.10937
5"
"2019-09-
18T05:0
0:00.000
Z","0.01928
673999
999591
7",414,"0.00982
666015
625",414,239,240,239,2.25,2.25,"2.10937
5"
"2019-09-
18T05:0
2:00.000
Z","0.01947
293999
999238",414,"0.00976
5625",414,239,240,239,2.25,"2.20312
5","2.14062
5"
"2019-09-
18T05:0
4:00.000
Z","0.01909
974000
000511
4",414,"0.00939
941406
25",412,238,239,239,"2.20312
5",2.25,2.09375
"2019-09-
18T05:0
5:00.000
Z","0.01954
846000
000543
3",414,"0.00946
044921
875",414,238,240,239,"2.17187
5",2.1875,2.15625
"2019-09-
18T05:0
7:00.000
Z","0.01966
502000
000037",414,"0.00921
630859
375",414,239,239,238,"2.17187
5","2.26562
5",2.15625
"2019-09-
18T05:0
9:00.000
Z","0.01959
073999
999964",414,"0.00970
458984
375",414,238,239,238,2.21875,2.21875,"2.10937
5"
"2019-09-
18T05:1
0:00.000
Z","0.01947
623999
998905",412,"0.00982
666015
625",412,"2.29221
398410
34606e-
36",239,238,2.1875,2.25,2.09375
"2019-09-
18T05:1
2:00.000
Z","0.01941
767999
999865
4",412,"0.00915
527343
75",412,238,239,238,2.15625,"2.32812
5","2.07812
5"
"2019-09-
18T05:1
4:00.000
Z","0.03967
608000
000473",412,"0.00909
423828
125",412,238,239,238,2.125,2.25,"2.10937
5"
"2019-09-
18T05:1
5:00.000
Z",0,412,"0.00909
423828
125",412,238,239,238,2.125,2.25,"2.10937
5"
"2019-09-
18T05:1
7:00.000
Z","0.01962
747999
999556",412,"0.00964
355468
75",412,238,239,238,"2.14062
5",2.1875,2.21875
"2019-09-
18T05:1
9:00.000
Z","0.01975
230000
000738",412,"0.00909
423828
125",410,237,"2.29221
398410
34606e-
36",238,"2.14062
5",2.21875,2.1875
"2019-09-
18T05:2
0:00.000
Z","0.01959
193999
999843",410,"0.00915
527343
75",410,237,238,237,"2.17187
5",2.28125,2.125
"2019-09-
18T05:2
2:00.000
Z","0.01977
947999
999742",410,"0.00939
941406
25",410,237,238,237,2.1875,2.3125,2.125
"2019-09-
18T05:2
4:00.000
Z","0.01982
026000
000769",410,"0.00927
734375",412,237,238,237,"2.17187
5",2.3125,"2.07812
5"
"2019-09-
18T05:2
6:00.000
Z","0.01961
235999
999917",410,"0.00939
941406
25",412,237,238,238,"2.17187
5",2.3125,"2.04687
5"
"2019-09-
18T05:2
7:00.000
Z","0.01979
828000
000270
4",412,"0.00909
423828
125",410,237,238,238,2.125,2.28125,"2.14062
5"
"2019-09-
18T05:2
9:00.000
Z","0.01978
197999
999974
8",412,"0.00903
320312
5",412,237,238,238,"2.14062
5",2.28125,"2.20312
5"
"2019-09-
18T05:3
1:00.000
Z","0.02007
143999
999971",412,"0.00878
90625",412,237,238,238,"2.14062
5","2.32812
5","2.14062
5"
"2019-09-
18T05:3
2:00.000
Z","0.02007
510000
000184",412,"0.00933
837890
625",412,238,238,238,2.09375,2.28125,2.15625
"2019-09-
18T05:3
4:00.000
Z","0.01988
799999
999173
5",412,"0.00903
320312
5",412,238,238,237,"2.17187
5",2.28125,2.0625
"2019-09-
18T05:3
6:00.000
Z","0.01988
994000
000821",412,"0.00878
90625",412,237,239,238,2.15625,2.28125,"2.10937
5"
"2019-09-
18T05:3
7:00.000
Z","0.01981
751999
999687
6",412,"0.00915
527343
75",412,238,239,238,"2.17187
5","2.29687
5","2.10937
5"
"2019-09-
18T05:3
9:00.000
Z","0.01954
394000
000320
5",412,"0.00933
837890
625",412,238,239,238,"2.10937
5",2.21875,"2.25694
915357
8792e-
36"
"2019-09-
18T05:4
1:00.000
Z","0.01984
277999
999176",412,"0.00927
734375",412,238,239,238,2.125,"2.26562
5",2.15625
"2019-09-
18T05:4
2:00.000
Z","0.01976
653999
999689
4",412,"0.00921
630859
375",412,238,239,238,"2.17187
5","2.29687
5","2.04687
5"
"2019-09-
18T05:4
4:00.000
Z","0.01988
070000
00088",412,"0.00939
941406
25",414,238,239,239,"2.25694
915357
8792e-3
6",2.28125,"2.14062
5"
"2019-09-
18T05:4
6:00.000
Z","0.01975
669999
999809",412,"0.00915
527343
75",412,238,240,239,"2.14062
5","2.17187
5",2.21875
"2019-09-
18T05:4
7:00.000
Z","0.01980
531999
999948
4",412,"0.00909
423828
125",412,238,240,239,"2.14062
5",2.1875,2.1875
"2019-09-
18T05:4
9:00.000
Z","0.01954
903999
999805
7",412,"0.00921
630859
375",412,238,239,239,2.125,2.1875,"2.20312
5"
"2019-09-
18T05:5
1:00.000
Z","0.01977
241999
999387
2",414,"0.00921
630859
375",414,239,240,239,"2.25694
915357
8792e-3
6",2.25,"2.20312
5"
"2019-09-
18T05:5
3:00.000
Z","0.01970
706000
000063
7",412,"0.00927
734375",414,239,240,239,2.21875,2.34375,"2.10937
5"
"2019-09-
18T05:5
4:00.000
Z","0.01981
700000
001001",412,"0.00897
216796
875",412,238,239,238,"2.20312
5",2.34375,"1.97656
25"
"2019-09-
18T05:5
6:00.000
Z","0.01964
435999
999114",412,"0.00903
320312
5",412,238,239,239,"2.14062
5",2.3125,"2.07812
5"
"2019-09-
18T05:5
8:00.000
Z","0.01993
690000
000060
4",412,"0.00927
734375",414,238,240,239,"2.17187
5",2.28125,2.0625
"2019-09-
18T05:5
9:00.000
Z","0.01968
211999
999766
6",412,"0.00915
527343
75","2.29221
398410
34606e-
36",238,240,239,2.125,2.34375,2.03125
"2019-09-
18T06:0
1:00.000
Z","0.01965
178000
000014
3",412,"0.00921
630859
375",412,239,240,239,2.09375,"2.20312
5",2.25
"2019-09-
18T06:0
3:00.000
Z","0.01998
464000
000967
8",414,"0.00897
216796
875",414,238,240,239,2.0625,"2.14062
5",2.34375
"2019-09-
18T06:0
4:00.000
Z","0.01977
853999
999933
8",414,"0.00909
423828
125",414,238,240,239,2.09375,2.1875,"2.26562
5"
"2019-09-
18T06:0
6:00.000
Z","0.01994
441999
999981",414,"0.00903
320312
5",414,239,240,239,2.09375,2.1875,2.34375
"2019-09-
18T06:0
8:00.000
Z","0.02011
131999
999633
8",414,"0.00897
216796
875",412,238,239,238,"2.07812
5",2.25,"2.20312
5"
"2019-09-
18T06:0
9:00.000
Z","0.01991
916000
000492",412,"0.00878
90625",412,238,239,239,2.09375,2.3125,2.0625
"2019-09-
18T06:1
1:00.000
Z","0.01996
207999
999751
3",412,"0.00878
90625",412,238,239,238,2.15625,"2.32812
5","2.01562
5"
"2019-09-
18T06:1
3:00.000
Z","0.01985
229999
999865",410,"0.00891
113281
25",412,237,239,238,2.125,2.25,"2.17187
5"
"2019-09-
18T06:1
5:00.000
Z","0.02005
644000
000029
3",410,"0.00891
113281
25",410,236,239,238,"2.10937
5","2.26562
5",2.09375
"2019-09-
18T06:1
6:00.000
Z","0.02012
283999
999636",410,"0.00903
320312
5",410,237,239,238,2.09375,"2.14062
5","2.35937
5"
"2019-09-
18T06:1
8:00.000
Z","0.02002
614000
000176",410,"0.00909
423828
125",410,237,239,237,2.09375,2.21875,2.34375
"2019-09-
18T06:2
0:00.000
Z","0.02015
975999
999500
3",410,"0.00909
423828
125","2.29221
398410
34606e-
36",237,239,237,"2.07812
5","2.32812
5",2.09375
"2019-09-
18T06:2
1:00.000
Z","0.02000
806000
000739",410,"0.00903
320312
5",410,236,239,237,"2.07812
5",2.3125,"2.07812
5"
"2019-09-
18T06:2
3:00.000
Z","0.02018
983999
999182",410,"0.00897
216796
875",410,236,239,237,2.09375,2.21875,"2.10937
5"
"2019-09-
18T06:2
5:00.000
Z","0.02018
870000
001334",410,"0.00897
216796
875",410,236,239,237,"2.10937
5",2.1875,"2.20312
5"
"2019-09-
18T06:2
6:00.000
Z","0.01994
455999
998899
5",410,"0.00885
009765
625",410,236,239,237,"2.07812
5",2.34375,"2.07812
5"
"2019-09-
18T06:2
8:00.000
Z","0.02026
532000
000588
8",410,"0.00872
802734
375",410,236,239,237,2.0625,2.1875,"2.29687
5"
"2019-09-
18T06:3
0:00.000
Z","0.02028
057999
999146",410,"0.00903
320312
5",410,237,239,238,"2.07812
5",2.1875,"2.29687
5"
"2019-09-
18T06:3
1:00.000
Z","0.01989
884000
000893",410,"0.00872
802734
375",410,236,240,238,2.0625,2.25,"2.07812
5"
"2019-09-
18T06:3
3:00.000
Z","0.02009
217999
999237",416,"0.00952
148437
5",414,239,242,240,2.15625,2.21875,2.25
"2019-09-
18T06:3
5:00.000
Z","0.01997
144000
000844",414,"0.01055
908203
125","2.29221
398410
34606e-
36",240,241,240,"2.07812
5",2.25,"2.10937
5"
"2019-09-
18T06:3
6:00.000
Z","0.02022
583999
999915
2",414,"0.01031
494140
625",414,240,240,239,2.03125,2.25,"2.14062
5"
"2019-09-
18T06:3
8:00.000
Z","0.02018
507999
999565",414,"0.01068
115234
375",414,240,240,239,"2.07812
5",2.25,"2.04687
5"
"2019-09-
18T06:4
0:00.000
Z","0.04024
818000
00096",414,"0.01013
183593
75",414,240,241,240,"2.07812
5","2.26562
5","2.10937
5"
"2019-09-
18T06:4
2:00.000
Z",0,414,"0.01013
183593
75",414,240,241,240,"2.07812
5","2.26562
5","2.10937
5"
"2019-09-
18T06:4
3:00.000
Z","0.01984
229999
998933
5",414,"0.01007
080078
125",414,239,241,240,2.0625,"2.17187
5",2.21875
"2019-09-
18T06:4
5:00.000
Z","0.02010
494000
000471
7",414,"0.01043
701171
875",412,237,241,240,2.09375,2.1875,2.1875
"2019-09-
18T06:4
7:00.000
Z","0.02004
177999
999956",412,"0.01031
494140
625",412,236,241,240,"2.04687
5","2.17187
5",2.28125
"2019-09-
18T06:4
8:00.000
Z","0.02014
564000
000246",414,"0.01043
701171
875",412,237,241,239,"2.04687
5","2.10937
5",2.34375
"2019-09-
18T06:5
0:00.000
Z","0.02034
781999
999541",414,"0.01031
494140
625",416,239,241,240,2.03125,2.09375,2.375
"2019-09-
18T06:5
2:00.000
Z","0.02013
027999
999758
2",414,"0.01013
183593
75",414,239,241,240,2.09375,2.1875,"2.26562
5"
"2019-09-
18T06:5
3:00.000
Z","0.01982
158000
000345",414,"0.00982
666015
625",414,238,242,240,"2.07812
5",2.09375,"2.29687
5"
"2019-09-
18T06:5
5:00.000
Z","0.02009
275999
999954
3",416,"0.01043
701171
875",414,239,242,240,2.0625,"2.07812
5",2.46875
"2019-09-
18T06:5
7:00.000
Z","0.01993
708000
000333
4",416,"0.00976
5625",416,240,242,240,2.09375,2.1875,2.1875
"2019-09-
18T06:5
8:00.000
Z","0.02017
779999
999038
5",416,"0.00970
458984
375",418,241,242,240,"2.14062
5",2.1875,2.1875
"2019-09-
18T07:0
0:00.000
Z","0.02004
474000
001209
6",418,"0.00976
5625",416,241,242,240,"2.07812
5","2.26562
5",2.09375
"2019-09-
18T07:0
2:00.000
Z","0.01987
403999
999515",418,"0.00952
148437
5",418,241,242,241,2.0625,"2.26562
5",1.9375
"2019-09-
18T07:0
4:00.000
Z","0.01995
209999
999497",418,"0.01000
976562
5",416,240,242,241,2.09375,2.1875,2.09375
"2019-09-
18T07:0
5:00.000
Z","0.01985
966000
000189
6",416,"0.00952
148437
5",416,241,241,240,"2.07812
5","2.14062
5",2.125
"2019-09-
18T07:0
7:00.000
Z","0.02005
255999
999644
8",416,"0.00994
873046
875",416,240,241,240,2,2.125,2.21875
"2019-09-
18T07:0
9:00.000
Z","0.02001
432000
000204
6",414,"0.00927
734375",414,238,241,240,2.09375,2.28125,"1.92187
5"
"2019-09-
18T07:1
0:00.000
Z","0.02035
626000
000047
6",412,"0.00970
458984
375",412,238,240,239,"2.10937
5",2.28125,2.15625
"2019-09-
18T07:1
2:00.000
Z","0.02022
882000
000390
8",412,"0.00976
5625",412,237,240,239,"2.01562
5","2.32812
5",2.125
"2019-09-
18T07:1
4:00.000
Z","0.02012
148000
000161",412,"0.00927
734375",412,236,240,239,"2.01562
5","2.26562
5","1.99218
75"
"2019-09-
18T07:1
5:00.000
Z","0.02038
285999
999789",412,"0.00915
527343
75",412,237,240,239,2.0625,2.09375,2.28125
"2019-09-
18T07:1
7:00.000
Z","0.01998
154000
000795
4",412,"0.00921
630859
375",412,236,240,239,"2.07812
5","2.20312
5",2.15625
"2019-09-
18T07:1
9:00.000
Z","0.01997
709999
998915",414,"0.00946
044921
875",412,238,241,240,1.96875,2.21875,"2.20312
5"
"2019-09-
18T07:2
0:00.000
Z","0.02003
702000
000339
6",414,"0.00897
216796
875",414,238,241,240,2,"2.07812
5",2.25
"2019-09-
18T07:2
2:00.000
Z","0.01973
265999
999421
2",414,"0.00915
527343
75",414,238,241,240,2.03125,"2.04687
5","2.45312
5"
"2019-09-
18T07:2
4:00.000
Z","0.02003
224000
000045
8",414,"0.00988
769531
25",416,240,240,240,2.03125,"2.14062
5",2.1875
"2019-09-
18T07:2
5:00.000
Z","0.01944
198000
000324",416,"0.00988
769531
25",412,238,241,240,2,2.0625,"2.10937
5"
"2019-09-
18T07:2
7:00.000
Z","0.01949
248000
000079
8",414,"0.00939
941406
25",414,239,241,240,2,"2.07812
5",2.3125
"2019-09-
18T07:2
9:00.000
Z","0.01942
175999
999745",414,"0.00921
630859
375",414,239,242,240,"2.01562
5",2.15625,2
"2019-09-
18T07:3
1:00.000
Z","0.01879
158000
000461
3",414,"0.00939
941406
25",414,240,241,240,2,2,2.28125
"2019-09-
18T07:3
2:00.000
Z","0.01899
666000
000434",414,"0.00878
90625",414,239,241,240,"1.95312
5","2.01562
5","2.20312
5"
"2019-09-
18T07:3
4:00.000
Z","0.01880
943999
999726
6",414,"0.00903
320312
5",414,237,"2.29221
398410
34606e-
36",240,"1.98437
5","2.20312
5","1.94531
25"
"2019-09-
18T07:3
6:00.000
Z","0.01898
679999
999876
6",414,"0.00885
009765
625",414,238,242,240,1.96875,"1.97656
25",2.3125
"2019-09-
18T07:3
7:00.000
Z","0.01899
486000
000615
7",414,"0.00823
974609
375",414,237,241,239,1.96875,"2.04687
5",2.03125
"2019-09-
18T07:3
9:00.000
Z","0.01875
477999
998838
6",414,"0.00952
148437
5",414,239,241,240,1.9375,"2.07812
5","2.32812
5"
"2019-09-
18T07:4
1:00.000
Z","0.01928
261999
999813
4",414,"0.00946
044921
875","2.29221
398410
34606e-
36",240,241,239,"1.92968
75",2.0625,2.40625
"2019-09-
18T07:4
2:00.000
Z","0.01898
914000
000513
6",414,"0.00952
148437
5",414,239,240,239,"1.94531
25",2.25,2
"2019-09-
18T07:4
4:00.000
Z","0.01910
188000
000198
3",412,"0.00964
355468
75",414,240,240,240,1.90625,"2.04687
5",2.375
"2019-09-
18T07:4
6:00.000
Z","0.01940
558000
000601",412,"0.00988
769531
25",414,238,240,240,1.875,"2.14062
5",2.15625
"2019-09-
18T07:4
7:00.000
Z","0.03831
835999
999020
5",414,"0.00952
148437
5",414,240,240,239,2.03125,2.25,"1.96093
75"
"2019-09-
18T07:4
9:00.000
Z",0,414,"0.00952
148437
5",414,240,240,239,2.03125,2.25,"1.96093
75"
"2019-09-
18T07:5
1:00.000
Z","0.01927
969999
999914",414,"0.00921
630859
375",414,238,241,240,1.9375,2.09375,"2.26562
5"
"2019-09-
18T07:5
3:00.000
Z","0.01921
742000
000085
6",414,"0.00946
044921
875",414,238,240,240,1.875,"2.07812
5","2.17187
5"
"2019-09-
18T07:5
4:00.000
Z","0.01983
404000
000155",414,"0.00927
734375",416,240,240,240,"2.04687
5","2.29687
5","1.97656
25"
"2019-09-
18T07:5
6:00.000
Z","0.01934
622000
000672
5",414,"0.00982
666015
625",414,239,241,240,2.03125,2.28125,"1.92968
75"
"2019-09-
18T07:5
8:00.000
Z","0.01913
479999
999981
3",412,"0.00878
90625",412,236,242,240,"1.92968
75",2.1875,"1.98437
5"
"2019-09-
18T07:5
9:00.000
Z","0.01954
195999
998774",412,"0.00860
595703
125",414,237,242,240,"1.92187
5","2.01562
5","2.35937
5"
"2019-09-
18T08:0
1:00.000
Z","0.01930
572000
000393",414,"0.00903
320312
5",414,237,242,241,1.9375,2.0625,2.46875
"2019-09-
18T08:0
3:00.000
Z","0.01957
034000
000567",414,"0.00872
802734
375",414,237,243,241,"1.85156
25","2.25694
915357
8792e-3
6",2.5
"2019-09-
18T08:0
4:00.000
Z","0.01967
781999
999715
4",416,"0.00891
113281
25",416,"2.29221
398410
34606e-
36",242,"2.29221
398410
34606e-
36","1.89062
5",2.21875,"2.60937
5"
"2019-09-
18T08:0
6:00.000
Z","0.01929
137999
999511
5",414,"0.00897
216796
875",414,238,241,240,"1.96093
75","2.10937
5","2.48437
5"
"2019-09-
18T08:0
8:00.000
Z","0.01968
132000
000332
6",414,"0.00830
078125",412,238,239,239,"1.95312
5",2.09375,2.125
"2019-09-
18T08:0
9:00.000
Z","0.01948
949999
999604",412,"0.00793
457031
25",412,238,239,239,"2.07812
5",2.25,2
"2019-09-
18T08:1
1:00.000
Z","0.01984
848000
000056
4",410,"2.20992
937954
59005e-
36",410,236,240,238,2.125,2.15625,2.1875
"2019-09-
18T08:1
3:00.000
Z","0.01924
990000
00098",412,"0.00842
285156
25",412,236,240,239,"1.94531
25",2.09375,2.3125
"2019-09-
18T08:1
4:00.000
Z","0.01910
155999
999551
4",412,"0.00836
181640
625",410,236,240,238,2,"2.10937
5",2.125
"2019-09-
18T08:1
6:00.000
Z","0.01929
124000
000592
7",410,"0.00854
492187
5",412,237,240,238,"2.04687
5","1.98437
5","2.32812
5"
"2019-09-
18T08:1
8:00.000
Z","0.01934
501999
999338",410,"0.00830
078125",412,237,239,238,"1.92187
5",2.09375,2.3125
"2019-09-
18T08:2
0:00.000
Z","0.01907
663999
999931
5",412,"0.00811
767578
125",410,237,239,238,"2.01562
5","2.04687
5",2.40625
"2019-09-
18T08:2
1:00.000
Z","0.01950
587999
999697
8",410,"0.00799
560546
875",412,238,239,238,2,2.03125,2.15625
